Ticker Symbol,Name,Stock Exchange,Type,Sub Type,Web Address,
FRW,First Washington Realty Trust Inc,NASDA,Equity,Strip,,   
FSN,Franklin Select Realty Trust,AMEX,Equity,Diversified,www.frk.com/properties,   
FUR,First Union Real Estate Equity,NYSE,Equity,Diversified,www.firstunion-reit.com,   
GBP,Gables Residential Trust,NYSE,Equity,Apartment,www.gables.com,   
GGP,General Growth Properties Inc,NYSE,Equity,Regional Mall,www.generalgrowth.com,   
GL,Great Lakes REIT,NYSE,Equity,Office,www.greatlakesreit.com,   
GLB,Glenborough Realty Trust Inc,NYSE,Equity,Diversified,www.glenborough.com,   
GLR,G & L Realty Corporation,NYSE,Equity,Office,www.glrealty.com,   
GRT,Glimcher Realty Trust,NYSE,Equity,Regional Mall,,   
GTA,Golf Trust of America Inc.,AMEX,Equity,Golf Properties,www.golftrust.com,   
GVE,Grove Property Trust,AMEX-,Equity,Apartment,www.groveproperty.com,   
HCM,"Hanover Capital Mortgage Holdings, Inc.",AMEX,Mortgage,MtgBacked,,   
HCN,Health Care REIT Inc,NYSE,Hybrid,Healthcare,,   
HCP,Health Care Property Investors Inc,NYSE,Equity,Healthcare,www.hcpi.com,   
HGPI,Horizon Group Properties Inc.,NASDA,Equity,Outlet,www.horizongroup.com,   
HIW,Highwoods Properties Inc,NYSE,Equity,Office,www.highwoods.com,   
HME,Home Properties of New York Inc,NYSE,Equity,Apartment,www.homeproperties.com,   
HMG,HMG/Courtland Properties Inc,AMEX,Equity,Diversified,,   
HOT,Starwood Hotel & Resorts Trust,NYSE,Equity,Hotel,www.starwoodlodging.com,   
HPT,Hospitality Properties Trust,NYSE,Equity,Hotel,,   
HR,Healthcare Realty Trust Inc,NYSE,Equity,Healthcare,www.healthcarerealty.com,   
HRP,HRPT Properties Trust,NYSE,Equity,Healthcare,,   
HUMP,Humphrey Hospitality Trust Inc,NASDA,Equity,Hotel,,   
IAC,Irvine Apartment Communities Inc,NYSE,Equity,Apartment,www.iac-apts.com,   
ICH,"Impac Commercial Holdings, Inc.",AMEX,Mortgage,Diversified,www.impaccompanies.com,   
